date,time,city,region,elevation,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,weather_id,frost
2020-11-01,02:00,Leh,Himalayan,3500,-41.0,-41.1,670.2,68,-47.4,82,0.5,87,803,1
2020-11-01,06:00,Leh,Himalayan,3500,-41.0,-41.6,657.9,93,-42.4,52,3.2,293,803,1
2020-11-01,14:00,Leh,Himalayan,3500,-28.0,-28.0,676.7,64,-35.2,88,0.0,58,803,1
2020-11-01,22:00,Leh,Himalayan,3500,-28.0,-30.2,660.7,93,-29.4,14,10.9,174,800,1
2020-11-03,02:00,Leh,Himalayan,3500,-43.5,-45.9,676.9,48,-53.9,2,12.3,134,800,0
2020-11-03,06:00,Leh,Himalayan,3500,-43.5,-43.5,672.6,61,-51.3,83,0.3,263,803,1
2020-11-03,14:00,Leh,Himalayan,3500,-30.5,-30.7,655.2,82,-34.0,5,1.1,259,800,1
2020-11-03,22:00,Leh,Himalayan,3500,-30.5,-32.0,672.1,73,-35.8,71,7.6,251,803,1
2020-11-05,02:00,Leh,Himalayan,3500,-43.5,-44.5,653.2,65,-50.4,25,5.3,187,801,1
2020-11-05,06:00,Leh,Himalayan,3500,-43.5,-44.4,656.0,59,-51.6,64,4.9,8,803,0
2020-11-05,14:00,Leh,Himalayan,3500,-30.5,-30.5,659.6,72,-36.1,10,0.0,162,800,1
2020-11-05,22:00,Leh,Himalayan,3500,-30.5,-32.0,668.8,79,-34.6,40,7.8,200,801,1
2020-11-07,02:00,Leh,Himalayan,3500,-37.8,-37.8,673.8,47,-48.3,22,0.2,292,801,0
2020-11-07,06:00,Leh,Himalayan,3500,-37.8,-39.1,675.8,82,-41.3,64,6.5,130,803,1
2020-11-07,14:00,Leh,Himalayan,3500,-24.8,-25.7,677.3,75,-29.7,26,4.4,14,801,1
2020-11-07,22:00,Leh,Himalayan,3500,-24.8,-24.9,657.3,68,-31.2,95,0.7,51,803,1
2020-11-09,02:00,Leh,Himalayan,3500,-35.8,-36.3,667.4,79,-40.1,28,2.3,159,801,1
2020-11-09,06:00,Leh,Himalayan,3500,-35.8,-37.1,678.0,55,-44.9,41,6.4,133,801,0
2020-11-09,14:00,Leh,Himalayan,3500,-22.8,-23.1,653.1,82,-26.4,61,1.6,347,803,1
2020-11-09,22:00,Leh,Himalayan,3500,-22.8,-23.0,670.8,67,-29.5,26,1.0,115,801,1
2020-11-11,02:00,Leh,Himalayan,3500,-44.0,-44.1,656.8,50,-54.1,26,0.5,164,801,0
2020-11-11,06:00,Leh,Himalayan,3500,-44.0,-44.2,672.3,54,-53.3,58,0.8,95,803,0
2020-11-11,14:00,Leh,Himalayan,3500,-31.0,-31.1,675.1,39,-43.3,57,0.2,294,803,0
2020-11-11,22:00,Leh,Himalayan,3500,-31.0,-31.2,664.8,41,-42.8,80,1.0,1,803,0
2020-11-13,02:00,Leh,Himalayan,3500,-45.6,-45.8,668.8,70,-51.6,1,0.8,217,800,1
